                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.916,                 3.9459,                 2.6476,                0.50746,                0.48224,                0.40665,                0.13734,                 2.7809,                 3.1286,                 1.7735,             0.00066434,             0.00066434,             0.00066434
                      2,                 2.5149,                 1.6149,                 1.5669,                0.69678,                0.62167,                0.62223,                0.21032,                 2.3852,                 1.8073,                 1.5462,              0.0013178,              0.0013178,              0.0013178
                      3,                 2.3972,                 1.4413,                 1.4955,                0.70426,                0.65275,                 0.6284,                0.21742,                 2.2852,                 2.4652,                 1.4732,              0.0019581,              0.0019581,              0.0019581
                      4,                 2.2866,                 1.3401,                 1.4313,                0.79459,                0.68707,                0.70677,                0.28654,                 2.1632,                 1.3356,                 1.4309,              0.0019406,              0.0019406,              0.0019406
                      5,                  2.233,                 1.2699,                 1.3901,                0.80687,                0.73179,                0.73853,                0.30488,                 2.1073,                 1.2298,                 1.3937,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.1849,                 1.2562,                  1.374,                 0.7898,                0.76081,                0.73405,                0.30976,                 2.0912,                 1.2382,                 1.3849,               0.001901,               0.001901,               0.001901
                      7,                 2.1954,                 1.2745,                 1.3744,                0.84064,                0.72612,                0.75845,                0.31733,                 2.0682,                 1.3058,                 1.3712,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.1473,                  1.244,                 1.3452,                0.83374,                0.74334,                0.76078,                0.31685,                 2.0268,                 1.2113,                 1.3514,              0.0018614,              0.0018614,              0.0018614
                      9,                  2.105,                 1.2038,                 1.3254,                0.85564,                0.75133,                 0.7966,                0.36545,                 1.9598,                 1.1392,                  1.323,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.0804,                 1.1731,                 1.3154,                0.81683,                0.71314,                0.73513,                0.30858,                 1.9725,                 1.1983,                   1.33,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.0478,                 1.1485,                 1.2982,                0.83444,                0.78597,                0.80529,                0.37566,                  1.939,                 1.1171,                 1.3136,               0.001802,               0.001802,               0.001802
                     12,                 2.0394,                  1.149,                 1.3038,                0.83824,                0.76021,                0.78651,                0.35993,                 1.9854,                 1.2433,                 1.3287,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.0257,                 1.1291,                 1.2876,                0.84529,                0.75933,                0.81039,                0.38756,                 1.9359,                 1.0616,                 1.3091,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.0388,                 1.1319,                 1.2945,                0.82255,                0.77265,                0.80277,                0.36962,                 1.8616,                 1.1376,                 1.2847,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.0059,                 1.1369,                 1.2805,                0.85762,                0.74778,                0.81242,                0.37669,                 1.9439,                 1.1307,                 1.3046,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.9839,                 1.0991,                 1.2646,                0.84216,                0.76289,                0.81282,                0.35543,                 1.9467,                 1.0647,                 1.3001,               0.001703,               0.001703,               0.001703
                     17,                 1.9745,                 1.1161,                 1.2619,                0.86098,                0.75903,                0.79586,                0.36151,                 1.9003,                 1.0984,                 1.2952,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.9431,                 1.0982,                 1.2615,                0.85517,                0.74156,                0.80361,                0.35399,                 1.9121,                 1.1771,                 1.2886,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.9449,                 1.1005,                  1.259,                0.82854,                0.76377,                0.79106,                0.37346,                 1.8504,                 1.0881,                 1.2781,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.9394,                 1.1017,                 1.2584,                0.86068,                0.77709,                0.82619,                0.39698,                 1.8497,                 1.0352,                 1.2741,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.9228,                 1.0795,                 1.2372,                0.86271,                0.76643,                0.80834,                0.36676,                 1.8274,                 1.1626,                 1.2622,               0.001604,               0.001604,               0.001604
                     22,                 1.9022,                 1.0535,                 1.2365,                0.88621,                0.78064,                 0.8387,                0.41023,                 1.8885,                 1.0488,                  1.298,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.8997,                  1.061,                 1.2277,                0.87334,                0.78419,                0.83853,                0.40959,                 1.8031,                 1.0266,                 1.2461,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.8659,                 1.0397,                 1.2309,                0.87597,                0.76554,                0.83029,                0.38804,                 1.8541,                 1.0177,                 1.2692,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.8657,                 1.0568,                 1.2207,                0.86461,                0.77353,                0.83478,                0.41163,                 1.7865,                 1.0787,                 1.2403,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.8727,                 1.0401,                 1.2244,                0.88137,                0.76288,                0.82403,                0.39426,                 1.8564,                 1.0609,                 1.2681,               0.001505,               0.001505,               0.001505
                     27,                 1.8848,                 1.0602,                 1.2318,                0.87388,                0.75844,                0.82344,                0.39157,                 1.9158,                 1.0898,                 1.3107,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.8559,                 1.0371,                 1.2225,                0.87742,                0.77709,                0.83976,                0.41458,                 1.7657,                0.97671,                 1.2444,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.8498,                 1.0155,                 1.2224,                 0.8748,                0.76324,                0.83734,                 0.4178,                 1.7788,                 1.0154,                 1.2443,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.8455,                 1.0337,                  1.212,                0.87252,                 0.7833,                0.84212,                0.41429,                 1.7515,                0.98108,                 1.2296,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.8387,                 1.0342,                 1.2116,                0.84681,                0.77709,                0.82092,                0.38184,                 1.8394,                 1.1062,                  1.268,               0.001406,               0.001406,               0.001406
                     32,                 1.8203,                 1.0156,                 1.2115,                0.89082,                0.78982,                0.85516,                0.43486,                 1.7465,                0.99016,                 1.2274,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.8092,                0.99668,                 1.2037,                0.86161,                0.80725,                0.85395,                0.41972,                 1.7793,                0.94314,                 1.2352,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.8254,                0.99011,                 1.2172,                0.88987,                 0.7762,                0.84676,                0.43144,                 1.7697,                 0.9563,                 1.2348,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.8052,                0.98176,                 1.1983,                0.87047,                0.80817,                0.84684,                 0.4205,                 1.7242,                  0.981,                 1.2231,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.7897,                 0.9783,                 1.1955,                0.89842,                0.79485,                0.86061,                0.42393,                 1.7697,                0.93219,                 1.2334,               0.001307,               0.001307,               0.001307
                     37,                 1.8054,                0.99694,                 1.2019,                0.90035,                0.78637,                0.85414,                 0.4353,                 1.7634,                0.97154,                   1.25,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7658,                0.97612,                 1.1988,                0.85958,                0.80906,                0.84485,                0.42137,                 1.7163,                 0.9436,                 1.2127,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7822,                0.98467,                 1.1925,                0.89749,                0.80086,                0.85505,                0.43476,                  1.724,                 1.0308,                 1.2145,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.7814,                0.97612,                 1.1884,                0.89133,                0.78672,                0.84612,                0.40932,                 1.7701,                0.96874,                 1.2304,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.7714,                0.97354,                 1.1945,                0.87978,                0.78643,                0.85231,                0.42956,                 1.7396,                0.95275,                 1.2253,               0.001208,               0.001208,               0.001208
                     42,                 1.7785,                 0.9907,                 1.2031,                0.85376,                0.80884,                0.84421,                0.42766,                 1.7123,                0.94614,                  1.208,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.756,                0.97117,                 1.1891,                0.89758,                0.80018,                0.86349,                0.43989,                 1.7362,                0.94544,                  1.226,              0.0011684,              0.0011684,              0.0011684
                     44,                   1.74,                0.96132,                 1.1705,                0.87011,                0.78419,                0.83751,                0.39985,                  1.829,                0.99361,                 1.2621,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.7575,                0.97623,                 1.1835,                 0.8824,                0.80628,                0.86457,                0.44681,                  1.683,                0.89205,                 1.1975,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.7461,                0.95654,                 1.1726,                0.87621,                0.80461,                0.84929,                0.43175,                 1.6848,                0.93564,                 1.2037,               0.001109,               0.001109,               0.001109
                     47,                 1.7452,                0.94451,                 1.1809,                 0.8963,                0.80995,                0.86051,                0.43185,                 1.7196,                0.94506,                 1.2071,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.7419,                0.94417,                  1.171,                0.89279,                0.81349,                0.86182,                0.43057,                  1.663,                0.90286,                 1.1898,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.7147,                0.92698,                 1.1616,                0.88042,                0.81078,                0.86083,                0.43224,                 1.7333,                0.92092,                 1.2145,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.7156,                0.93113,                 1.1734,                0.89496,                0.80209,                0.86186,                 0.4368,                 1.6934,                0.93883,                 1.2008,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.7242,                0.95023,                 1.1696,                  0.901,                0.81172,                0.86651,                0.43604,                 1.6636,                0.88874,                 1.1981,                0.00101,                0.00101,                0.00101
                     52,                  1.721,                0.94265,                 1.1697,                 0.8766,                 0.7984,                0.85241,                0.42509,                 1.7042,                0.90202,                 1.2103,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.7222,                0.93428,                 1.1642,                0.91238,                0.79528,                0.86271,                0.44775,                 1.6905,                0.90063,                 1.2087,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.7159,                0.92939,                 1.1621,                0.88642,                0.79041,                0.85196,                0.43179,                 1.6786,                0.92477,                 1.1924,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6807,                0.91107,                 1.1482,                 0.8963,                0.81362,                0.86926,                0.44201,                 1.6638,                0.90375,                 1.1892,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.6757,                0.91408,                  1.151,                 0.9105,                0.81317,                0.88063,                 0.4599,                 1.6573,                0.85605,                 1.1853,               0.000911,               0.000911,               0.000911
                     57,                 1.7028,                0.92163,                 1.1639,                0.88773,                0.82164,                0.86879,                0.44713,                 1.6428,                 0.8624,                 1.1773,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.6891,                0.92661,                 1.1588,                0.88207,                0.81972,                0.86561,                0.44266,                 1.6869,                0.88374,                 1.1976,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.6646,                0.90823,                 1.1455,                0.90603,                0.81616,                0.87233,                0.45262,                 1.6632,                0.88003,                 1.1916,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.6784,                0.89526,                  1.162,                0.90138,                0.81172,                0.86905,                0.44371,                 1.6683,                0.89006,                 1.1972,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6463,                0.91297,                 1.1515,                0.89668,                 0.8247,                 0.8716,                0.44678,                 1.6482,                0.90237,                 1.1838,               0.000812,               0.000812,               0.000812
                     62,                 1.6317,                0.88258,                 1.1414,                0.89969,                0.81794,                0.87068,                0.44623,                 1.7049,                0.85502,                 1.2021,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.6782,                0.91114,                 1.1532,                0.90408,                0.79523,                0.86487,                0.44251,                 1.6759,                0.88251,                 1.1896,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.6615,                0.89614,                 1.1509,                0.87685,                0.82682,                 0.8698,                 0.4422,                 1.6722,                0.85274,                 1.1926,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.6794,                0.90588,                 1.1515,                0.91577,                0.81883,                0.87335,                0.45975,                 1.6218,                0.84756,                 1.1703,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.6599,                 0.9052,                 1.1452,                0.91765,                 0.7984,                0.87047,                0.44691,                 1.6319,                0.87467,                  1.172,               0.000713,               0.000713,               0.000713
                     67,                  1.635,                0.87254,                 1.1373,                0.91462,                0.80817,                 0.8729,                0.45868,                 1.6326,                0.87251,                 1.1727,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.6321,                0.88368,                 1.1402,                 0.9135,                0.81595,                0.87211,                0.45369,                 1.6499,                 0.8702,                 1.1816,              0.0006734,              0.0006734,              0.0006734
                     69,                  1.642,                0.87331,                 1.1347,                0.90858,                0.81883,                0.87631,                0.46641,                   1.63,                0.86406,                 1.1709,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.6357,                0.88306,                 1.1436,                0.90299,                0.83037,                0.87697,                 0.4588,                 1.6278,                0.85619,                 1.1705,              0.0006338,              0.0006338,              0.0006338
                     71,                  1.627,                0.86887,                 1.1403,                0.90635,                0.80792,                0.86899,                0.45332,                 1.6359,                0.87323,                 1.1722,               0.000614,               0.000614,               0.000614
                     72,                 1.6304,                0.86955,                 1.1514,                0.91097,                0.81784,                0.87588,                0.45723,                 1.6283,                0.83644,                  1.172,              0.0005942,              0.0005942,              0.0005942
                     73,                  1.617,                0.86633,                 1.1237,                0.90256,                0.81435,                 0.8655,                0.45136,                 1.6262,                0.85947,                 1.1675,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.6183,                0.86362,                 1.1367,                0.89808,                 0.8286,                0.86963,                0.44938,                 1.6562,                 0.8742,                 1.1868,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.6173,                0.85817,                 1.1298,                0.90808,                0.81591,                0.87231,                0.46024,                 1.6142,                0.84228,                 1.1682,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.5981,                0.85522,                 1.1252,                0.90923,                0.81972,                0.87232,                0.46025,                 1.6324,                0.84264,                 1.1741,               0.000515,               0.000515,               0.000515
                     77,                 1.6024,                0.85731,                  1.128,                0.91223,                0.81228,                0.87343,                0.46317,                  1.621,                0.83649,                 1.1713,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.6132,                0.85236,                 1.1261,                0.88872,                0.81616,                0.86616,                0.46523,                 1.5853,                0.83123,                  1.155,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.6008,                0.85082,                 1.1301,                0.90486,                0.81934,                0.87423,                0.46553,                 1.6195,                0.84139,                 1.1677,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.5893,                0.84284,                 1.1202,                0.90893,                0.81883,                0.87645,                0.46404,                 1.6011,                0.82634,                 1.1571,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.5973,                0.83956,                 1.1185,                0.91182,                 0.8173,                0.87699,                0.46702,                 1.6059,                0.83834,                 1.1598,               0.000416,               0.000416,               0.000416
                     82,                  1.583,                0.83763,                 1.1148,                0.91644,                0.81439,                0.87898,                0.47016,                 1.5989,                0.84271,                 1.1597,              0.0003962,              0.0003962,              0.0003962
                     83,                  1.567,                0.82768,                 1.1208,                0.90203,                0.80955,                0.87497,                0.46145,                 1.6157,                0.84314,                 1.1675,              0.0003764,              0.0003764,              0.0003764
                     84,                  1.572,                0.83495,                 1.1164,                0.92063,                0.81261,                0.87791,                0.46668,                 1.6155,                0.80986,                 1.1663,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.5877,                0.84307,                 1.1216,                0.89733,                0.83126,                0.87801,                0.46913,                  1.595,                0.81855,                 1.1562,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.5693,                0.83118,                 1.1139,                0.90131,                0.81923,                0.87549,                 0.4696,                  1.603,                0.84403,                 1.1591,               0.000317,               0.000317,               0.000317
                     87,                 1.5752,                 0.8308,                 1.1119,                0.89604,                0.82149,                0.87233,                 0.4626,                 1.6037,                0.82919,                 1.1604,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.5709,                0.82379,                 1.1133,                0.89961,                0.82416,                 0.8753,                0.46754,                 1.5981,                0.82132,                 1.1554,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.556,                 0.8304,                 1.1169,                  0.892,                0.82948,                0.87688,                0.46951,                   1.59,                0.82629,                  1.151,              0.0002576,              0.0002576,              0.0002576
                     90,                  1.569,                0.82809,                 1.1158,                0.90187,                0.82504,                0.87801,                0.46907,                 1.6093,                0.82231,                 1.1601,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.4937,                0.80738,                 1.1345,                0.91581,                 0.8212,                 0.8775,                0.48015,                 1.5813,                0.79736,                 1.1457,               0.000218,               0.000218,               0.000218
                     92,                  1.478,                0.77827,                 1.1263,                0.89876,                0.82682,                0.88024,                0.48018,                 1.5741,                0.79511,                 1.1428,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.5031,                0.79934,                 1.1363,                0.90875,                0.82257,                0.88301,                0.48403,                 1.5681,                0.78692,                 1.1402,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.4708,                0.78071,                 1.1224,                0.91601,                0.81794,                0.88401,                0.47965,                 1.5684,                0.78582,                 1.1392,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.4573,                0.78733,                 1.1176,                0.91648,                0.82682,                0.88519,                0.48462,                 1.5646,                0.78117,                 1.1365,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.4415,                 0.7693,                 1.1119,                0.90778,                0.83055,                0.88371,                0.48731,                 1.5383,                0.78474,                 1.1277,               0.000119,               0.000119,               0.000119
                     97,                 1.4604,                0.76918,                   1.12,                0.90179,                0.83183,                0.88193,                0.48709,                 1.5436,                0.78136,                 1.1303,               9.92e-05,               9.92e-05,               9.92e-05
